name,targets,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27
cycle_2020-09-13 23.39.38_66136.92,0,17.02940241,136.7684747,16.10072,786.1875,2.295552176,52.19933173,0.037005677,22.04839832,2726.826119,0.007685648,3.69491633,3.378531832,48.87280154,3.428936742,2.018732825,2434.993934,7.672238828,3.271242291,262.2225568,11.06948255,37.44624544,63.32836056,204.5865096,37.76673877,0.0,30.40013278,0.564733501
cycle_2020-09-14 03.41.12_66136.08,0,13.54369201,39.52414918,16.82498,131.9063,7.685924857,28.53315529,0.142202631,300.1179194,2558.213561,0.1326502,3.149046789,3.888136896,50.08819008,3.943713275,2.125451619,3341.001124,8.255718106,3.352716646,221.8306835,29.64479365,52.12468638,74.37881193,195.2660027,37.52659534,0.0,50.68509074,0.753287119
cycle_2020-09-14 05.32.16_66135.62,0,12.43700518,89.85053887,14.54079,250.0313,14.61653357,7.353061693,0.201601436,476.0051759,1870.041659,0.077213289,1.545560578,3.828814682,47.89464433,3.883098064,2.002657766,3564.135655,7.666295687,2.844532297,220.7031193,26.9173932,35.29396366,71.94933528,195.9556515,37.42538329,0.0,57.60681766,0.771806683
cycle_2020-09-14 08.55.01_66135.05,0,14.84686097,248.9120389,16.9364,1693.125,7.159039247,18.67224348,0.034773921,451.7877481,2318.938144,0.030926567,7.687177542,3.939144573,43.43354519,3.993589508,1.951235989,3814.544131,7.721895905,2.691993824,220.5922389,18.81372359,36.09763763,46.18324736,197.2117267,37.63661435,0.140479192,63.24026534,0.722240501
cycle_2020-09-14 09.31.53_66135.05,0,15.50181945,274.5581515,17.66065,1326.281,1.434301927,43.55129294,0.008897814,80.19555783,3680.973641,0.012998146,8.273446679,3.963180458,54.59078217,4.021341859,2.626351338,4003.422008,10.40987012,4.59851691,219.9418289,49.47708622,38.83562281,47.43206097,196.7806431,37.7152677,0.236232827,49.74949197,0.666633585
cycle_2020-09-14 11.05.02_66134.66,0,9.260146432,161.0142301,15.5436,713.3438,-2.90105401,0.0,0.0,-289.0673987,0.0,0.0,8.486258667,4.024555983,48.36757013,4.080956004,2.207008766,4008.42918,8.888871798,3.743457002,219.8535319,30.87726213,37.99032636,45.11720083,197.2295293,37.53839455,0.429347105,57.58821445,0.693921971
cycle_2020-09-14 11.50.41_66134.66,0,16.09960805,234.0309526,15.59932,502.0313,0.927078598,44.76370507,0.005648216,39.79811888,3958.038731,0.005929524,8.575966236,4.612021138,55.15026433,4.676780165,2.280177188,4578.820927,10.49871808,5.547796628,218.0391951,42.14120959,58.51731486,43.37443326,195.9210134,37.24255389,0.576935769,62.65793475,0.751252834
cycle_2020-09-14 13.27.22_66134.66,0,13.88462875,199.7594544,16.37928,1284.281,10.97138692,21.05622396,0.156619115,267.5004077,3845.873804,0.054039434,8.668660488,4.755700209,56.50339097,4.822093415,2.292456172,4810.515553,10.90196827,5.735180801,218.8753492,43.02447964,72.46239098,44.58603758,197.0195355,39.03338684,0.91251237,64.97639715,0.766043127
cycle_2020-09-14 15.53.59_66134.66,0,10.10558466,645.7582624,22.45187,2818.594,4.312021516,38.92167304,0.041276644,66.1010447,4715.695943,0.00407239,8.75338039,4.772085512,53.94542711,4.837716331,2.127899412,5072.578766,10.17980152,5.350761598,218.3893554,40.08510569,78.96193782,62.2851338,196.6020028,39.28314733,1.49635724,75.27400376,0.795355296
cycle_2020-09-17 11.31_66126.63,0,15.2644704,238.2456541,15.0422,1675.406,-17.49350735,0.0,0.0,-2153.720604,0.0,0.0,4.621044748,5.00501578,51.06612617,5.071671248,1.715933105,6125.3949,8.5865806,4.949648389,297.901569,27.2453914,45.58857398,66.04203622,235.5789721,70.6962744,26.1654773,110.7480924,0.920128936
